codigo,mensaje 1,mensaje 2,mensaje 3,mensaje 4,mensaje 5,mensaje 6
c2,"📌 Hola!!!

No recibí tu respuesta

Ya tiene el teórico ganado???",,,,,
c3,"Excelente. Muchas felicidades.

Ya tiene cita agendada para la prueba de manejo???",record=c6=7200,,,,
c4,"Nosotros ofrecemos el servicio de preparación y citas para el examen teórico.

Donde vives???",record=c5=7200,,,,
c5,"📌 Hola!!!

Le agradezco mucho que me indique en cual ciudad es que va a realizar su curso teórico",,,,,
c6,"📌 Hola!!!

No recibí tu respuesta

Ya tiene cita agendada para la prueba de manejo???",,,,,
c35,Donde es su prueba de manejo???,record=c10=7200,,,,
c7,"No hay problema!!!

Yo le puedo ayudar con la cita","💡💡💡 Por favor llenar el formulario de solicitud de citas para prueba de manejo

En la pregunta que dice *""""INGRESO COSEVI""""* debe poner su clave de usuario

https://forms.gle/kTgfYQhHKJ1Tfzkj7",record=c8=7200,"reporte=contestaron al mensaje sobre formulario de solicitud de citas para prueba de manejo, revisar",,
c8,📌 Pudo completar la información que se pide en el formulario para agendar la cita???,record=c9=7200,reporte=contestaron el recordatorio para el formulario para agendar cita,,,
c9,"📌 Hola!!!

No me dijo si pudo llenar el formulario para agendar su cita",reporte=contestaron el recordatorio para el formulario para agendar cita,,,,
c10,"📌 Hola!!!

Le agradezco mucho si si me dice en cual sede es su prueba de manejo???",,,,,
c11,La licencia que usted va a sacar es moto o carro???,,,,,
c12,La licencia que usted va a sacar es moto o carro???,,,,,
c13,"💡💡💡Hola!!!

Tenemos el siguiente paquete para alquilar su vehículo para prueba de manejo. Si no tiene cita para prueba le ayudamos con la programación de manera gratuita.

🎯 *PAQUETE VIP* 🎯

*VALOR:* 40 mil colones

*VEHÍCULO:* Smart eléctrico o Spark automático gasolina (Dependiendo de la disponibilidad)

Incluye:

*PREVIO:*

🚙 Clase de preparación que es para practicar conos, reversa, salida del plantel, direccionales y la manera correcta de hacer el alto en la salida del plantel  
🚙 Recorrido explicativo de la ruta oficial que hace el evaluador.

🇨🇷 *Notas a considerar:* 🇨🇷  
👉📒*A)* La duración de la preparación es de 50 minutos en total  
👉📒*B)* La preparación de este paquete debe hacerse agendando vía formulario  
👉📒*C)* En este paquete se incluye enseñanza de manejo en carro automático. En caso que el usuario no tenga experiencia en el manejo de vehículos automáticos.  
👉📒*D)* Explicación de luces y simulación de la revisión del vehículo

🖊 El dinero se cancela en efectivo.

Envíeme el pdf de su cita para hacer la reservación","💡💡💡 Hola!!!

El paquete que deseas incluye una preparación qué consiste en:

🌺 Recorrido visual explicativo de la ruta  
🌺 Revisión y aprendizaje del sistema de luces que hace el evaluador previo al inicio de la prueba  
🌺 Práctica en plantel de conos  

Por favor elije el día y hora de la preparación en el siguiente enlace  

👇🟨👇🟨👇🟨👇🟨👇  

https://calendly.com/clasesdemanejo/clases","💡💡💡 Por favor llenar el formulario de reservación para alquiler  

El sinpe móvil se hace al número 60023618  

https://forms.gle/v8BURKwGxLSVbgA98",record=c14=7200,reporte=Contestaron mensaje sobre formulario de reservación,
c14,"📌 Pudo completar la información que se pide en
ambos formularios???",record=c15=7200,reporte=Contestaron recordatorio por formulario de reservación,,,
c15,"📌 Hola!!!
No me dijo si pudo llenar el formulario de reservación
de vehículos y el de la preparación",reporte=Contestaron recordatorio por formulario de reservación,,,,
c16,"*Tenemos un paquete para usted!!!*

🖊 El alquiler de moto *A1* vale 30 mil colones.  
(Se reserva con 10 mil colones)  

🖊 El alquiler de moto *A2* vale 30 mil colones.  
(Se reserva con 5 mil colones)  

🖊 El alquiler de moto para A3 vale 40 mil colones.  
(Se reserva con 10 mil colones)  

*INCLUYE:*  

🖊 Recorrido visual explicativo de la ruta oficial en la prueba de manejo  
🖊 Realizar 5 veces el circuito de conos y paralelas en nuestro plantel de práctica.  
🖊 Alquiler de moto A1-A2-A3.  

🎯 Sinpe al 60023618","💡💡💡 Por favor llenar el formulario de reservación para alquiler  

El sinpe móvil se hace al número 60023618  

https://forms.gle/v8BURKwGxLSVbgA98",record=c17=7200,"reporte=Contestaron mensaje sobre formulario de reservacion, revisar!",,
c16_1,"*Tenemos un paquete para usted!!!*

🖊 El alquiler de moto *A1* vale 30 mil colones.  
(Se reserva con 10 mil colones)  

🖊 El alquiler de moto *A2* vale 30 mil colones.  
(Se reserva con 5 mil colones)  

🖊 El alquiler de moto para A3 vale 40 mil colones.  
(Se reserva con 10 mil colones)  

*INCLUYE:*  

🖊 Recorrido visual explicativo de la ruta oficial en la prueba de manejo  
🖊 Realizar 5 veces el circuito de conos y paralelas en nuestro plantel de práctica.  
🖊 Alquiler de moto A1-A2-A3.  

🎯 Sinpe al 61103205","💡💡💡 Por favor llenar el formulario de reservación para alquiler  

El sinpe móvil se hace al número 61103205  

https://forms.gle/cNMDTRVbLL8yDH2X9 ",record=c17=7200,"reporte=Contestaron mensaje sobre formulario de reservacion, revisar!",,
c17,"📌 Pudo completar la información que se pide en el
formulario de reservación de vehículos???",record=c18=7200,"reporte=Contestaron mensaje sobre formulario de reservacion, revisar!",,,
c18,"📌 Hola!!!
No me dijo si pudo llenar el formulario de reservación
de vehículos y el de la preparación","reporte=Contestaron mensaje sobre formulario de reservacion, revisar!",,,,
c19,El alquiler de camión para b2 vale 55 mil colones,"💡💡💡 Por favor llenar el formulario de reservación para alquiler  

El sinpe móvil se hace al número 60023618  

https://forms.gle/v8BURKwGxLSVbgA98",record=c23=7200,reporte=contestaron mensaje sobre formulario de reservacion de camion,,
c20,"El alquiler de camión automático para B3 vale 75 mil
colones ","💡💡💡 Por favor llenar el formulario de reservación para alquiler  

El sinpe móvil se hace al número 60023618  

https://forms.gle/v8BURKwGxLSVbgA98",record=c23=7200,reporte=contestaron mensaje sobre formulario de reservacion de B3,,
c21,"El alquiler de camión para B4 (traíler) vale 130 mil
colones","💡💡💡 Por favor llenar el formulario de reservación para alquiler  

El sinpe móvil se hace al número 60023618  

https://forms.gle/v8BURKwGxLSVbgA98",record=c23=7200,reporte=contestaron mensaje sobre formulario de reservacion de B4 o trailer,,
